1;360;Mise en comformité avenue Valette;699;2014-02-12T00:51:47.097Z;2014-02-12T16:00:23.808Z;2014-02-22T12:20:53.097Z
2;223;Mise en comformité chemin Raynaud;136;2012-11-21T02:48:55.683Z;2012-11-29T04:13:16.153Z;2012-11-30T05:27:01.683Z
3;906;Solution d'équipement avenue Ribeiro;519;2013-02-02T15:29:56.245Z;2013-02-03T09:43:57.206Z;2013-02-07T11:34:08.245Z
4;372;Chantier rue Laporte;877;2008-04-03T07:07:55.540Z;2008-04-11T18:53:50.971Z;2008-04-15T01:38:31.540Z
5;326;Solution d'équipement boulevard Le Roux;436;2009-02-08T09:49:42.232Z;2009-02-08T10:05:31.982Z;2009-02-08T10:33:30.232Z
6;439;Rénovation boulevard Hamel;651;2009-07-19T16:18:41.479Z;2009-07-24T22:19:37.664Z;2009-07-26T14:23:11.479Z
7;242;Mise en comformité chemin Hamon;312;2005-11-17T12:13:02.941Z;2005-11-18T08:46:26.675Z;2005-11-19T23:42:44.941Z
8;438;Plan d'équipement avenue Legrand;243;2012-02-09T23:51:28.964Z;2012-02-17T01:43:22.409Z;2012-02-22T18:49:22.964Z
9;167;Rénovation boulevard Marchal;110;2006-09-09T19:02:36.312Z;2006-09-11T13:23:18.836Z;2006-09-20T01:25:06.312Z
10;164;Installation rue Guyot;903;2008-03-05T08:50:40.200Z;2008-03-08T23:31:27.060Z;2008-03-10T13:18:34.200Z
11;489;Rénovation chemin Lejeune;400;2007-04-30T22:00:23.168Z;2007-05-01T06:07:49.403Z;2007-05-01T21:00:05.168Z
12;168;Rénovation rue Hoareau;542;2007-03-06T14:38:11.708Z;2007-03-11T10:55:24.952Z;2007-03-14T01:07:17.708Z
13;718;Chantier boulevard Lemaire;512;2013-09-05T08:08:31.219Z;2013-09-06T01:24:23.078Z;2013-09-07T21:05:49.219Z
14;907;Solution d'équipement rue Breton;751;2011-05-19T14:47:00.516Z;2011-05-21T22:24:54.360Z;2011-05-24T03:11:18.516Z
15;499;Chantier rue Collet;941;2006-02-18T19:36:51.079Z;2006-02-21T13:29:05.917Z;2006-02-23T02:10:45.079Z
16;508;Chantier rue Joubert;551;2012-04-16T15:11:54.194Z;2012-04-22T11:58:10.597Z;2012-04-25T15:38:36.194Z
17;626;Chantier rue Masson;218;2008-10-14T17:43:04.971Z;2008-10-21T14:41:15.396Z;2008-10-28T23:43:22.971Z
18;146;Plan d'équipement rue Guillon;668;2005-07-20T04:34:34.679Z;2005-07-20T17:29:53.145Z;2005-07-21T02:50:28.679Z
19;374;Nouvelle installation avenue Brunel;177;2009-01-10T08:03:00.929Z;2009-01-11T04:12:54.757Z;2009-01-15T12:30:54.929Z
20;671;Solution d'équipement chemin Tessier;626;2010-09-22T15:51:24.755Z;2010-10-05T04:57:11.391Z;2010-10-06T06:53:48.755Z
21;547;Ravallement boulevard Peltier;551;2010-10-29T05:35:23.959Z;2010-10-29T20:05:44.142Z;2010-10-31T17:05:05.959Z
22;118;Mise en comformité rue Bodin;137;2008-05-21T02:07:40.732Z;2008-05-23T04:40:28.318Z;2008-05-25T21:06:10.732Z
